seller_id,seller_name,owner_name,business_type,phone,email,address,city,state,pincode,gst_number,bank_name,account_number,seller_category,join_date,seller_age_days,verification_level,total_orders,seller_return_rate,seller_dispute_rate,wrong_item_rate,damaged_item_rate,avg_product_price,refund_before_inspection,negative_feedback_rate
822733,Pant and Sons,Bimala Prabhu,Brand,+91 8103106894,kalitapanini@business.com,"73
Konda",Surat,West Bengal,858783,GST02UK82742IB383A,PNB,8.94E+11,Beauty,18-02-2023,900,Premium,2000,0.15,0.12,0.14,0.14,4000,0,0.15
926420,"Karnik, Gaba and Cherian",Varsha Prasad,Small Business,+91 8160177842,zverma@business.com,"H.No. 478
Kashyap Ganj",Ahmedabad,Gujarat,910806,GST89CP64599GK359D,SBI,2.53E+11,Automotive,07-11-2022,150,Premium,1000,0.18,0.14,0.16,0.16,3000,1,0.18
709590,Anamika Prashad,Chandran Panchal,Individual,+91 7488422108,kuriansamesh@business.com,"66/028
Kibe",Surat,Rajasthan,817537,GST02WH51732FS021F,Axis,3.76E+11,Sports,04-08-2024,150,Premium,800,0.18,0.22,0.28,0.16,2600,0,0.18
156768,"Seshadri, Bhatia and Grewal",Urvi Mani,Brand,+91 8488790632,dashbalvan@yahoo.com,"H.No. 403
Agrawal",Surat,Rajasthan,792941,GST73ZH01825PI249D,Bank of Baroda,6.12E+11,Toys,06-08-2021,150,Premium,700,0.18,0.22,0.28,0.28,2400,0,0.18
412734,Nazareth Inc,Varsha Nayak,Small Business,+91 8042299799,ravelishaan@business.com,"28/584
Rao Path",Jaipur,Gujarat,578370,GST66OK09567TM742E,Axis,2.39E+11,Toys,28-03-2024,150,Premium,600,0.18,0.22,0.28,0.28,2200,1,0.18
922983,"Lata, Gara and Mahajan",Oviya Chauhan,Enterprise,+91 9129599915,inath@business.com,"H.No. 54, Dani Zila",Kolkata,Rajasthan,297023,GST70FY41091PA800X,Kotak,6.80E+11,Fashion,18-10-2025,190,Premium,500,0.18,0.22,0.28,0.28,2000,1,0.32
340055,Kadakia Inc,Aashi Toor,Enterprise,+91 8692635081,janakijohal@gmail.com,"451
Jaggi",Surat,Karnataka,841820,GST00UL65114FX971P,Canara Bank,14375939171,Fashion,21-06-2024,200,Basic,400,0.34,0.22,0.28,0.28,1600,1,0.22
263166,Bava-Dhar,Chanchal Parikh,Brand,+91 9086155744,bchopra@gmail.com,"70/92
Date Ganj",Jaipur,Delhi,638936,GST69QQ56559XM369G,ICICI,1.20E+11,Books,09-05-2025,230,Basic,350,0.25,0.15,0.3,0.28,1400,1,0.25
995543,"Narang, Brar and Choudhry",Warjas Uppal,Small Business,+91 9947921760,ryankeer@gmail.com,"H.No. 42
Rau Street",Pune,Tamil Nadu,867257,GST14GE59519DK796J,Kotak,15267859407,Electronics,12-12-2023,300,Basic,300,0.31,0.28,0.3,0.5,1200,1,0.28
224150,Forum Bhatt,Brijesh Sachar,Individual,+91 6184030043,urishilla02@business.com,"59, Bal Ganj",Chennai,Maharashtra,265330,GST09OC24433JW940Q,ICICI,32356458017,Home & Kitchen,16-06-2022,40,Unverified,150,0.6,0.35,0.36,0.36,600,1,0.35
